Product_title,Price,Availability
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,1
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1
This One Summer,19.49,1
The Nameless City (The Nameless City #1),38.16,1
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,1
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,1
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,1
"Pop Gun War, Volume 1: Gift",18.97,1
Patience,10.16,1
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,1
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,1
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,1
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,1
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,1
I am a Hero Omnibus Volume 1,54.63,1
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,1
Danganronpa Volume 1,51.99,1
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,1
Camp Midnight,17.08,1
